Indicator_cases,Country,Date,cases,Indicator_deaths,deaths
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-08-29,648.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",430.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-05,812.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",517.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-08,862.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",555.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-12,861.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",557.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-16,936.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",595.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-18,942.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",601.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-22,1008.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",632.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-24,1022.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",635.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-09-26,1074.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",648.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-01,1157.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",710.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-03,1199.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",739.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-08,1298.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",768.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-10,1350.0,"Cumulative number of confirmed, probable and suspected Ebola deaths",778.0
