Country,Date,Cases,Deaths
Guinea,2014-08-29,648,430
Guinea,2014-09-05,812,517
Guinea,2014-09-08,862,555
Guinea,2014-09-12,861,557
Guinea,2014-09-16,936,595
Guinea,2014-09-18,942,601
Guinea,2014-09-22,1008,632
Guinea,2014-09-24,1022,635
Guinea,2014-09-26,1074,648
Guinea,2014-10-01,1157,710
Guinea,2014-10-03,1199,739
Guinea,2014-10-08,1298,768
Guinea,2014-10-10,1350,778
Guinea,2014-10-15,1472,843
Guinea,2014-10-17,1519,862
Guinea,2014-10-22,1540,904
Guinea,2014-10-25,1553,926
Guinea,2014-10-29,1906,997
Guinea,2014-10-31,1667,1018
Guinea,2014-11-05,1731,1041
Guinea,2014-11-07,1760,1054
Guinea,2014-11-12,1878,1142
Guinea,2014-11-14,1919,1166
Guinea,2014-11-19,1971,1192
Guinea,2014-11-21,2047,1214
Guinea,2014-11-26,2134,1260
Guinea,2014-12-01,2155,1312
Guinea,2014-12-03,2164,1327
Guinea,2014-12-10,2292,1428
Guinea,2014-12-15,2394,1518
Guinea,2014-12-17,2416,1525
Guinea,2014-12-22,2571,1586
Guinea,2014-12-23,2597,1607
Guinea,2014-12-24,2597,1607
Guinea,2014-12-26,2630,1654
Guinea,2014-12-29,2695,1697
Guinea,2014-12-30,2706,1708
Guinea,2014-12-31,2707,1709
Guinea,2015-01-02,2730,1739
Guinea,2015-01-05,2769,1767
Guinea,2015-01-06,2775,1781
Guinea,2015-01-07,2775,1781
Guinea,2015-01-08,2776,1786
Guinea,2015-01-09,2793,1797
Guinea,2015-01-12,2799,1807
Guinea,2015-01-13,2799,1807
Guinea,2015-01-14,2806,1814
Guinea,2015-01-15,2817,1821
Guinea,2015-01-16,2825,1829
Guinea,2015-01-19,2873,1875
Guinea,2015-01-20,2871,1876
Guinea,2015-01-21,2871,1876
Guinea,2015-01-22,2873,1879
Guinea,2015-01-23,2873,1880
Guinea,2015-01-26,2909,1906
Guinea,2015-01-27,2917,1910
Guinea,2015-01-28,2917,1910
Guinea,2015-01-29,2921,1911
Guinea,2015-01-30,2920,1913
Guinea,2015-02-02,2959,1937
Guinea,2015-02-03,2975,1944
Guinea,2015-02-04,2975,1944
Guinea,2015-02-05,2986,1947
Guinea,2015-02-06,2988,1957
Guinea,2015-02-10,3044,1995
Guinea,2015-02-11,3044,1995
Guinea,2015-02-12,3068,2018
Guinea,2015-02-13,3081,2032
Guinea,2015-02-16,3101,2052
Guinea,2015-02-17,3108,2057
Guinea,2015-02-18,3108,2057
Guinea,2015-02-19,3115,2067
Guinea,2015-02-20,3120,2072
Guinea,2015-02-23,3155,2086
Guinea,2015-02-25,3155,2091
Guinea,2015-02-26,3175,2101
Guinea,2015-02-27,3190,2113
Guinea,2015-03-02,3205,2127
Guinea,2015-03-04,3205,2127
Guinea,2015-03-05,3237,2141
Guinea,2015-03-06,3248,2147
Guinea,2015-03-10,3285,2170
Guinea,2015-03-11,3285,2170
Guinea,2015-03-12,3330,2187
Guinea,2015-03-13,3331,2192
Guinea,2015-03-16,3373,2216
Guinea,2015-03-17,3389,2224
Guinea,2015-03-18,3389,2224
Guinea,2015-03-20,3404,2241
Guinea,2015-03-23,3420,2261
Guinea,2015-03-24,3429,2263
Guinea,2015-03-25,3429,2263
Guinea,2015-03-26,3459,2273
Guinea,2015-03-27,3466,2276
Guinea,2015-04-07,3515,2333
Guinea,2015-04-09,3515,2335
Guinea,2015-04-13,3541,2342
Guinea,2015-04-14,3548,2346
Guinea,2015-04-15,3548,2346
Guinea,2015-04-16,3566,2348
Guinea,2015-04-17,3569,2351
Guinea,2015-04-20,3565,2357
Guinea,2015-04-21,3565,2358
Guinea,2015-04-22,3565,2358
Guinea,2015-04-23,3568,2362
Guinea,2015-04-24,3576,2365
Guinea,2015-04-27,3585,2374
Guinea,2015-04-28,3584,2377
Guinea,2015-04-30,3581,2381
Guinea,2015-05-01,3578,2383
Guinea,2015-05-04,3591,2385
Guinea,2015-05-05,3589,2386
Guinea,2015-05-06,3589,2386
Guinea,2015-05-07,3592,2387
Guinea,2015-05-08,3592,2387
Guinea,2015-05-11,3599,2391
Guinea,2015-05-12,3597,2392
Guinea,2015-05-13,3599,2391
Guinea,2015-05-14,3615,2399
Guinea,2015-05-15,3619,2401
Guinea,2015-05-18,3626,2405
Guinea,2015-05-19,3635,2407
Guinea,2015-05-20,3635,2407
Guinea,2015-05-21,3649,2409
Guinea,2015-05-22,3647,2412
Guinea,2015-05-25,3640,2418
Guinea,2015-05-26,3641,2420
Guinea,2015-05-27,3641,2420
Guinea,2015-05-28,3639,2423
Guinea,2015-05-29,3644,2425
Guinea,2015-06-01,3653,2428
Guinea,2015-06-02,3652,2429
Guinea,2015-06-03,3652,2429
Guinea,2015-06-04,3657,2431
Guinea,2015-06-05,3664,2431
Guinea,2015-06-08,3669,2435
Guinea,2015-06-09,3670,2437
Guinea,2015-06-10,3670,2437
Guinea,2015-06-11,3674,2440
Guinea,2015-06-12,3677,2440
Guinea,2015-06-15,3677,2443
Guinea,2015-06-16,3678,2444
Guinea,2015-06-17,3674,2444
Guinea,2015-06-18,3675,2445
